dataset,split,num_images,num_bboxes,bbox_size_mean,bbox_size_min,bbox_size_max,bbox_size_std,bboxes_per_image_mean,bboxes_per_image_min,bboxes_per_image_max,bboxes_per_image_std
ArthroNat,test,2037,2812,0.2545266702846957,0.0003414914615870139,0.9993070901192466,0.25367469416841826,1.3804614629356897,1.0,42.0,2.0697392356990925
flatbug,test,1139,21825,0.008944019319083986,2.8596150000000003e-06,0.872060622598,0.050227170580171066,19.161545215100965,0.0,577.0,50.63850672360072
SPIPOLL,test,1857,1998,0.37373828643356155,0.000990555456,0.9205094746770001,0.19279092935572634,1.0759289176090467,1.0,10.0,0.4255529663903438
OOD,test,2391,2498,0.0734445905316317,0.001063352385,0.4696081891200001,0.08973548067253101,1.0447511501463822,1.0,3.0,0.23692194125083307
Lepinoc,test,770,1525,0.016370937005240654,9.125182000000001e-06,0.6332749417669999,0.03650605342122886,1.9805194805194806,1.0,13.0,1.6913484178015274
